date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:51:36	70654/70654	---M--	200	added ('OK')	image/jpeg	etag:%226ff17762dd97321085424eb61447ed35%22	http://file.hstatic.net/1000075078/file/2000_-_the_coffee_house_blended_pdf.jpg	D:/Httrack/Demo1/file.hstatic.net/1000075078/file/2000_-_the_coffee_house_blended_pdf.jpg	(from https://thecoffeehouse.com/pages/hat-ca-phe-the-coffee-house)
21:51:39	118027/118027	---MCZ	200	added ('OK')	text/html	etag:W/%224f30ad706b0d49baa386b3d5f66daa44%22	https://thecoffeehouse.com/pages/danh-sach-tat-ca-cua-hang	D:/Httrack/Demo1/thecoffeehouse.com/pages/danh-sach-tat-ca-cua-hang.html	(from https://thecoffeehouse.com/pages/our-stores)
21:51:40	96314/96314	---M--	200	added ('OK')	image/jpeg	etag:%22b0bfe3c65256550b850a429764e87995%22	https://file.hstatic.net/1000075078/file/covertracedaknong_c84aed6e696f43edafeb3e407730c37b.jpg	D:/Httrack/Demo1/file.hstatic.net/1000075078/file/covertracedaknong_c84aed6e696f43edafeb3e407730c37b.jpg	(from https://thecoffeehouse.com/pages/hat-ca-phe-the-coffee-house)
21:51:54	88461/88461	---M--	200	added ('OK')	image/jpeg	etag:%22d85ab27dc3558d663d56acb7bec1c053%22	http://file.hstatic.net/1000075078/file/_dsc7811_1024x1024.jpg	D:/Httrack/Demo1/file.hstatic.net/1000075078/file/_dsc7811_1024x1024.jpg	(from https://thecoffeehouse.com/pages/our-stores)
21:51:58	107770/107770	---M--	200	added ('OK')	image/jpeg	etag:%229771bd6e43726b2948c7a8d3fa0bd9b8%22	http://file.hstatic.net/1000075078/file/copy_of_img_3038_1024x1024.jpg	D:/Httrack/Demo1/file.hstatic.net/1000075078/file/copy_of_img_3038_1024x1024.jpg	(from https://thecoffeehouse.com/pages/our-stores)
21:51:59	143692/143692	---M--	200	added ('OK')	image/jpeg	etag:%22fc85a10b67d531a1ed76046e8233527d%22	http://file.hstatic.net/1000075078/file/_fk_0938_1024x1024.jpg	D:/Httrack/Demo1/file.hstatic.net/1000075078/file/_fk_0938_1024x1024.jpg	(from https://thecoffeehouse.com/pages/our-stores)
21:53:16	500751/500751	---M--	200	added ('OK')	image/jpeg	etag:%226967d08afc70936ea2839576d5aaa624%22	http://file.hstatic.net/1000075078/file/store_lhp_vt_master.jpg	D:/Httrack/Demo1/file.hstatic.net/1000075078/file/store_lhp_vt_master.jpg	(from https://thecoffeehouse.com/pages/our-stores)
21:53:16	632291/632291	---M--	200	added ('OK')	image/jpeg	etag:%22614fc9ae622d4a0f73bfbfac6b95aba9%22	http://file.hstatic.net/1000075078/file/3e0a8783_master.jpg	D:/Httrack/Demo1/file.hstatic.net/1000075078/file/3e0a8783_master.jpg	(from https://thecoffeehouse.com/pages/our-stores)
21:53:23	124671/124671	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d4ff815d60c83028c87324f6fce8e634%22	http://theme.hstatic.net/1000075078/1000989727/14/swiper.min.js?v=49	D:/Httrack/Demo1/theme.hstatic.net/1000075078/1000989727/14/swiper.min9c55.js	(from https://thecoffeehouse.com/pages/our-stores)
21:53:26	45500/45500	---MCZ	200	added ('OK')	application/javascript	etag:W/%229cc49f793e385f3cc47f3d7263371af0%22	http://theme.hstatic.net/1000075078/1000989727/14/jquery.fancybox.min.js?v=49	D:/Httrack/Demo1/theme.hstatic.net/1000075078/1000989727/14/jquery.fancybox.min9c55.js	(from https://thecoffeehouse.com/pages/our-stores)
